,name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,room_Entire home/apt,room_Hotel room,room_Private room,room_Shared room,price_category,review_day,review_month,review_year
4944,Modern clean/ Pool / Platinum mall+ Central world,Benjaphorn,Ratchathewi,13.75953,100.54517,Private room,859,1,4,4,358,False,False,True,False,Low,17,1,2020
4945,New Spacious 2BR 92 sqm Fortune Tower 5 Condo 1,Sherry,Yan na wa,13.69841,100.53777,Entire home/apt,2500,7,0,1,365,True,False,False,False,High,11,12,2022
4946,【中文房东】毗邻Rama9地铁站，火车夜市，商场，中国大使馆。双人独立卫生间空调大床房。,Xiaoxun,Din Daeng,13.76119,100.5641,Private room,1500,1,27,7,365,False,False,True,False,Medium,13,1,2020
4947,【中文房东】毗邻地铁站，火车夜市，商场，中国大使馆/双床房/Two beds room,Xiaoxun,Din Daeng,13.76298,100.56462,Private room,1500,1,13,7,365,False,False,True,False,Medium,1,1,2020
4948,【中文房东】毗邻Rama9地铁站，抖音上的火车夜市，商场，中国大使馆。家庭独立卫生间带阳台大房间。,Xiaoxun,Din Daeng,13.76313,100.56608,Private room,1800,1,15,7,365,False,False,True,False,Medium,27,12,2019
4949,【中文房东】毗邻Rama9地铁站，火车夜市，centre商场，中国大使馆。空调立卫生间带阳台三人间,Xiaoxun,Din Daeng,13.76334,100.56389,Private room,1800,1,1,7,365,False,False,True,False,Medium,22,11,2019
4950,Cozy modern / Pool / Platinum mall+ Central world,Benjaphorn,Ratchathewi,13.76053,100.54476,Private room,899,1,4,4,359,False,False,True,False,Low,25,2,2020
4951,Central modern room/ Pratunam 10 min/ Pool rooftop,Benjaphorn,Ratchathewi,13.75687,100.54476,Private room,900,1,9,4,359,False,False,True,False,Low,20,11,2022
4952,GARDENservicedRESORT,Teerawat,Khan Na Yao,13.84627,100.68425,Private room,1800,1,0,3,362,False,False,True,False,Medium,11,12,2022
4953,Modern Loft Living near the Nana Skytrain Station,Joop,Vadhana,13.74781,100.55509,Entire home/apt,1504,1,189,1,133,True,False,False,False,Medium,26,12,2022
4954,ศุภาลัยเวลลิงตัน 2,ฐิตารี,Huai Khwang,13.76795,100.57842,Private room,15000,7,0,1,365,False,False,True,False,High,11,12,2022
4955,Baan Waan 2017 New!! ***Single room***シングルベッド,Varissara,Dusit,13.76041,100.52214,Private room,650,1,0,2,365,False,False,True,False,Low,11,12,2022
4957,Daneehostel,น.ส.ดาณี,Sathon,13.71533,100.52158,Private room,800,1,0,17,90,False,False,True,False,Low,11,12,2022
4959,Retro 39 Hotel,Newin,Khlong Toei,13.72977,100.57064,Private room,878,1,6,1,320,False,False,True,False,Low,15,11,2022
4960,Day and Night Golf House with airport pick-up,Teerawat,Khlong Sam Wa,13.83918,100.6921,Private room,2900,2,0,3,179,False,False,True,False,High,11,12,2022
4962,Danee hostel,น.ส.ดาณี,Sathon,13.71697,100.51963,Private room,590,1,0,17,90,False,False,True,False,Low,11,12,2022
4963,คอนโดศุภาลัยเวลลิงตัน2,ฐิตารี,Huai Khwang,13.76724,100.58206,Private room,10000,7,0,3,365,False,False,True,False,High,11,12,2022
4964,Danee hostel,น.ส.ดาณี,Sathon,13.71744,100.51946,Shared room,1200,1,0,17,89,False,False,False,True,Medium,11,12,2022
4965,คอนโดศุภาลัยเวลลิงตัน2,ฐิตารี,Huai Khwang,13.76735,100.58199,Private room,34000,7,0,3,365,False,False,True,False,High,11,12,2022
